Gender,Used Smart Home Devices,Familiar with Virtual Assistants,Technological Familiarity,Design Appeal,User-Friendly Design,Like Owl Assistant,Interaction Effectiveness,Overall Experience,Intuitiveness,Timeliness and Relevance,Daily Use,Benefit for Elderly,Innovation of Concept,Implement at Home,Know Elderly Who Would Benefit,Feasibility of Installation,Visual Design Satisfaction,App Responsiveness,Comfort Using App,Comfort with Avatar
Female,No,No,2,5,3,No,3,4,5,3,5,5,4,1,2,3,3,5,4,3
Female,No,No,1,4,4,No,2,5,3,3,2,2,4,1,3,2,3,3,4,2
Male,No,No,2,4,3,Yes,3,4,4,5,3,2,2,3,3,3,4,4,2,2
Female,Yes,No,1,4,3,Yes,2,2,4,2,4,2,3,1,2,2,2,2,4,4
Female,No,No,1,5,4,Yes,3,5,3,2,4,4,3,2,3,3,2,4,4,5
Male,No,No,1,4,4,No,2,3,3,4,5,3,5,3,3,1,2,5,5,4
Female,Yes,No,2,3,3,Yes,2,4,2,3,4,2,4,2,1,1,3,4,4,5
Female,No,No,1,5,4,No,4,3,2,4,3,2,5,2,3,3,3,3,5,3
Female,No,No,2,5,3,Yes,4,2,2,5,5,5,4,1,3,3,5,4,5,3
Female,No,No,1,4,5,No,5,2,3,3,4,5,4,1,2,2,5,2,2,2
Female,No,No,1,3,4,Yes,4,3,3,3,5,3,4,3,2,2,5,3,5,5
Female,No,No,2,3,3,Yes,4,2,5,3,3,5,2,1,3,3,4,2,5,3
Female,No,No,1,3,4,Yes,3,4,5,4,3,5,3,2,1,1,2,4,2,5
Male,Yes,No,1,3,5,Yes,2,2,4,2,5,3,5,1,2,3,5,2,4,5
Female,No,No,2,4,3,Yes,3,3,2,2,5,2,3,1,3,1,4,5,3,5
Female,No,Yes,2,4,5,Yes,3,2,2,4,2,3,3,1,1,1,4,3,5,2
Female,No,No,1,4,3,Yes,4,5,4,2,4,3,5,3,3,3,2,5,4,4
Female,No,Yes,1,3,4,Yes,2,4,4,2,2,3,4,2,2,2,3,4,3,3
Male,No,No,1,3,4,No,4,5,2,3,2,5,5,1,3,1,2,2,4,4
Male,No,No,1,5,5,Yes,5,3,2,3,2,2,3,3,1,1,2,4,2,2
Female,No,No,2,4,3,Yes,5,2,5,3,2,2,2,1,1,1,4,4,5,3
Female,No,No,1,5,5,Yes,2,4,4,3,4,3,5,1,1,1,2,4,5,2
Female,No,No,1,3,4,No,5,2,3,2,5,5,2,2,3,2,2,2,5,4
Female,No,No,1,3,3,Yes,4,4,4,4,5,2,3,3,1,2,3,2,2,4
Male,No,No,2,3,4,No,3,3,2,2,5,5,4,3,2,1,2,3,5,3
Female,No,No,2,4,4,Yes,5,3,5,4,3,3,3,3,1,1,2,4,5,5
Male,No,No,2,3,5,No,2,5,5,3,4,4,5,3,3,2,5,3,4,5
Female,No,No,1,3,4,No,4,3,2,5,2,5,5,2,1,2,2,5,2,5
Male,No,No,2,4,5,No,3,4,3,4,5,2,4,2,1,3,3,3,5,3
Female,No,No,2,5,3,Yes,4,4,2,5,3,4,5,2,2,3,3,5,2,4
